,Year,Tournament,Round,Player_1,Player_2,Result,Winner,Ranking,Total_games,Total_sets,Looser,Grand_Slams
7025,2019,USOpen,7,Alex De Minaur,Grigor Dimitrov,4-6 3-6 5-7,Grigor Dimitrov,4,31,3,Alex De Minaur,2
7026,2019,USOpen,7,Daniil Medvedev,Dominik Koepfer,3-6 6-3 6-2 7-6,Daniil Medvedev,4,26,2,Dominik Koepfer,2
7027,2019,USOpen,7,Roger Federer,David Goffin,6-2 6-2 6-0,Roger Federer,4,22,2,David Goffin,2
7170,2019,USOpen,7,Alexander Zverev,Diego Sebastian Schwartzman,3-6 4-6 2-6 6-3,Diego Sebastian Schwartzman,4,27,3,Alexander Zverev,2
7171,2019,USOpen,7,Matteo Berrettini,Andrey Rublev,6-1 6-4 7-6,Matteo Berrettini,4,30,2,Andrey Rublev,2
7172,2019,USOpen,7,Pablo Andujar,Gael Monfils,2-6 2-6 1-6,Gael Monfils,4,23,3,Pablo Andujar,2
7173,2019,USOpen,7,Rafael Nadal,Marin Cilic,6-3 3-6 6-1 6-2,Rafael Nadal,4,25,2,Marin Cilic,2
7317,2019,USOpen,9,Roger Federer,Grigor Dimitrov,2-6 4-6 6-3 4-6 6-3,Grigor Dimitrov,4,28,3,Roger Federer,2
7318,2019,USOpen,9,Stan Wawrinka,Daniil Medvedev,1-6 6-3 3-6 6-7,Daniil Medvedev,4,31,3,Stan Wawrinka,2
7459,2019,USOpen,9,Matteo Berrettini,Gael Monfils,3-6 6-3 6-2 3-6 7-6,Matteo Berrettini,4,26,2,Gael Monfils,2
7460,2019,USOpen,9,Rafael Nadal,Diego Sebastian Schwartzman,6-4 7-5 6-2,Rafael Nadal,4,30,2,Diego Sebastian Schwartzman,2
7607,2019,USOpen,10,Grigor Dimitrov,Daniil Medvedev,3-6 4-6 6-7,Daniil Medvedev,4,32,3,Grigor Dimitrov,2
7608,2019,USOpen,10,Matteo Berrettini,Rafael Nadal,1-6 4-6 6-7,Rafael Nadal,4,30,3,Matteo Berrettini,2
7770,2019,USOpen,12,Rafael Nadal,Daniil Medvedev,7-5 6-3 5-7 4-6 6-4,Rafael Nadal,4,33,2,Daniil Medvedev,2
14492,2019,Wimbledon,4,Alexander Zverev,Jiri Vesely,5-7 2-6 3-6 6-4,Jiri Vesely,4,27,3,Alexander Zverev,2
14493,2019,Wimbledon,4,Andrea Arnaboldi,Ivo Karlovic,6-7 4-6 4-6,Ivo Karlovic,4,33,3,Andrea Arnaboldi,2
14494,2019,Wimbledon,4,Benoit Paire,Juan Ignacio Londero,4-6 6-4 6-4 7-6,Benoit Paire,4,30,2,Juan Ignacio Londero,2
14495,2019,Wimbledon,4,Bradley Klahn,David Goffin,4-6 4-6 4-6,David Goffin,4,30,3,Bradley Klahn,2
14496,2019,Wimbledon,4,Daniil Medvedev,Paolo Lorenzi,6-3 7-6 7-6,Daniil Medvedev,4,35,2,Paolo Lorenzi,2
14497,2019,Wimbledon,4,Denis Kudla,Malek Jaziri,6-4 6-1 6-3,Denis Kudla,4,26,2,Malek Jaziri,2
14498,2019,Wimbledon,4,Dusan Lajovic,Hubert Hurkacz,4-6 4-6 6-4 3-6,Hubert Hurkacz,4,29,3,Dusan Lajovic,2
14499,2019,Wimbledon,4,Feliciano Lopez,Marcos Giron,6-4 6-2 6-4,Feliciano Lopez,4,28,2,Marcos Giron,2
14500,2019,Wimbledon,4,Felix Auger Aliassime,Vasek Pospisil,5-7 6-2 6-4 6-3,Felix Auger Aliassime,4,30,2,Vasek Pospisil,2
14501,2019,Wimbledon,4,Grigor Dimitrov,Corentin Moutet,1-6 3-6 6-7 6-3 6-2,Corentin Moutet,4,30,3,Grigor Dimitrov,2
14502,2019,Wimbledon,4,Guido Pella,Marius Copil,7-6 5-7 6-3 6-4,Guido Pella,4,34,2,Marius Copil,2
